fecha,producto_id,promocion_activa,descuento,tipo_promocion
2024-01-01,P001,0,0.0,sin_promocion
2024-01-01,P002,1,0.2,2x1
2024-01-01,P003,0,0.0,sin_promocion
2024-01-01,P004,0,0.0,sin_promocion
2024-01-01,P005,0,0.0,sin_promocion
2024-01-01,P006,0,0.0,sin_promocion
2024-01-01,P007,1,0.25,2x1
2024-01-01,P008,1,0.15,2x1
2024-01-01,P009,0,0.0,sin_promocion
2024-01-01,P010,1,0.15,segunda_unidad
2024-01-01,P011,0,0.0,sin_promocion
2024-01-01,P012,0,0.0,sin_promocion
2024-01-02,P001,0,0.0,sin_promocion
2024-01-02,P002,0,0.0,sin_promocion
2024-01-02,P003,0,0.0,sin_promocion
2024-01-02,P004,1,0.15,segunda_unidad
2024-01-02,P005,0,0.0,sin_promocion
2024-01-02,P006,0,0.0,sin_promocion
2024-01-02,P007,0,0.0,sin_promocion
2024-01-02,P008,0,0.0,sin_promocion
2024-01-02,P009,0,0.0,sin_promocion
2024-01-02,P010,0,0.0,sin_promocion
2024-01-02,P011,0,0.0,sin_promocion
2024-01-02,P012,0,0.0,sin_promocion
2024-01-03,P001,0,0.0,sin_promocion
2024-01-03,P002,1,0.25,segunda_unidad
2024-01-03,P003,0,0.0,sin_promocion
2024-01-03,P004,0,0.0,sin_promocion
2024-01-03,P005,1,0.2,segunda_unidad
2024-01-03,P006,0,0.0,sin_promocion
2024-01-03,P007,0,0.0,sin_promocion
2024-01-03,P008,0,0.0,sin_promocion
2024-01-03,P009,0,0.0,sin_promocion
2024-01-03,P010,1,0.15,descuento_directo
2024-01-03,P011,0,0.0,sin_promocion
2024-01-03,P012,0,0.0,sin_promocion
2024-01-04,P001,0,0.0,sin_promocion
2024-01-04,P002,0,0.0,sin_promocion
2024-01-04,P003,0,0.0,sin_promocion
2024-01-04,P004,0,0.0,sin_promocion
2024-01-04,P005,0,0.0,sin_promocion
2024-01-04,P006,0,0.0,sin_promocion
