fecha,ciudad,nombre_evento,impacto_estimado
2024-01-01,Almeria,Sin evento,0.0
2024-01-01,Cordoba,Sin evento,0.0
2024-01-01,Granada,Sin evento,0.0
2024-01-01,Malaga,Sin evento,0.0
2024-01-01,Sevilla,Sin evento,0.0
2024-01-02,Almeria,Sin evento,0.0
2024-01-02,Cordoba,Sin evento,0.0
2024-01-02,Granada,Sin evento,0.0
2024-01-02,Malaga,Sin evento,0.0
2024-01-02,Sevilla,Sin evento,0.0
2024-01-03,Almeria,Sin evento,0.0
2024-01-03,Cordoba,Sin evento,0.0
2024-01-03,Granada,Sin evento,0.0
2024-01-03,Malaga,Sin evento,0.0
2024-01-03,Sevilla,Sin evento,0.0
2024-01-04,Almeria,Sin evento,0.0
2024-01-04,Cordoba,Sin evento,0.0
2024-01-04,Granada,Sin evento,0.0
2024-01-04,Malaga,Sin evento,0.0
2024-01-04,Sevilla,Sin evento,0.0
2024-01-05,Almeria,Sin evento,0.0
2024-01-05,Cordoba,Sin evento,0.0
2024-01-05,Granada,Sin evento,0.0
2024-01-05,Malaga,Sin evento,0.0
2024-01-05,Sevilla,Sin evento,0.0
2024-01-06,Almeria,Sin evento,0.0
2024-01-06,Cordoba,Sin evento,0.0
2024-01-06,Granada,Sin evento,0.0
2024-01-06,Malaga,Sin evento,0.0
2024-01-06,Sevilla,Sin evento,0.0
2024-01-07,Almeria,Sin evento,0.0
2024-01-07,Cordoba,Sin evento,0.0
2024-01-07,Granada,Sin evento,0.0
2024-01-07,Malaga,Sin evento,0.0
2024-01-07,Sevilla,Sin evento,0.0
2024-01-08,Almeria,Sin evento,0.0
2024-01-08,Cordoba,Sin evento,0.0
2024-01-08,Granada,Sin evento,0.0
2024-01-08,Malaga,Sin evento,0.0
2024-01-08,Sevilla,Sin evento,0.0
2024-01-09,Almeria,Sin evento,0.0
2024-01-09,Cordoba,Sin evento,0.0
2024-01-09,Granada,Sin evento,0.0
2024-01-09,Malaga,Sin evento,0.0
2024-01-09,Sevilla,Sin evento,0.0
2024-01-10,Almeria,Sin evento,0.0
2024-01-10,Cordoba,Sin evento,0.0
2024-01-10,Granada,Sin evento,0.0
2024-01-10,Malaga,Sin evento,0.0
2024-01-10,Sevilla,Sin evento,0.0
2024-01-11,Almeria,Sin evento,0.0
2024-01-11,Cordoba,Sin evento,0.0
2024-01-11,Granada,Sin evento,0.0
2024-01-11,Malaga,Sin evento,0.0
2024-01-11,Sevilla,Sin evento,0.0
2024-01-12,Almeria,Sin evento,0.0
2024-01-12,Cordoba,Sin evento,0.0
2024-01-12,Granada,Sin evento,0.0
2024-01-12,Malaga,Sin evento,0.0
2024-01-12,Sevilla,Sin evento,0.0
2024-01-13,Almeria,Sin evento,0.0
2024-01-13,Cordoba,Sin evento,0.0
2024-01-13,Granada,Sin evento,0.0
2024-01-13,Malaga,Sin evento,0.0
2024-01-13,Sevilla,Sin evento,0.0
2024-01-14,Almeria,Sin evento,0.0
2024-01-14,Cordoba,Sin evento,0.0
2024-01-14,Granada,Sin evento,0.0
2024-01-14,Malaga,Sin evento,0.0
2024-01-14,Sevilla,Sin evento,0.0
2024-01-15,Almeria,Sin evento,0.0
2024-01-15,Cordoba,Sin evento,0.0
2024-01-15,Granada,Sin evento,0.0
2024-01-15,Malaga,Sin evento,0.0
2024-01-15,Sevilla,Sin evento,0.0
2024-01-16,Almeria,Sin evento,0.0
2024-01-16,Cordoba,Sin evento,0.0
2024-01-16,Granada,Sin evento,0.0
2024-01-16,Malaga,Sin evento,0.0
2024-01-16,Sevilla,Sin evento,0.0
2024-01-17,Almeria,Sin evento,0.0
2024-01-17,Cordoba,Sin evento,0.0
2024-01-17,Granada,Sin evento,0.0
2024-01-17,Malaga,Sin evento,0.0
2024-01-17,Sevilla,Sin evento,0.0
2024-01-18,Almeria,Sin evento,0.0
2024-01-18,Cordoba,Sin evento,0.0
2024-01-18,Granada,Sin evento,0.0
2024-01-18,Malaga,Sin evento,0.0
2024-01-18,Sevilla,Sin evento,0.0
2024-01-19,Almeria,Sin evento,0.0
2024-01-19,Cordoba,Sin evento,0.0
2024-01-19,Granada,Sin evento,0.0
2024-01-19,Malaga,Sin evento,0.0
2024-01-19,Sevilla,Sin evento,0.0
2024-01-20,Almeria,Sin evento,0.0
2024-01-20,Cordoba,Sin evento,0.0
2024-01-20,Granada,Sin evento,0.0
2024-01-20,Malaga,Evento fin de semana,0.147
2024-01-20,Sevilla,Sin evento,0.0
2024-01-21,Almeria,Sin evento,0.0
2024-01-21,Cordoba,Sin evento,0.0
2024-01-21,Granada,Sin evento,0.0
2024-01-21,Malaga,Sin evento,0.0
2024-01-21,Sevilla,Sin evento,0.0
2024-01-22,Almeria,Sin evento,0.0
2024-01-22,Cordoba,Sin evento,0.0
2024-01-22,Granada,Sin evento,0.0
2024-01-22,Malaga,Sin evento,0.0
2024-01-22,Sevilla,Sin evento,0.0
2024-01-23,Almeria,Sin evento,0.0
2024-01-23,Cordoba,Sin evento,0.0
2024-01-23,Granada,Sin evento,0.0
2024-01-23,Malaga,Sin evento,0.0
2024-01-23,Sevilla,Sin evento,0.0
2024-01-24,Almeria,Sin evento,0.0
2024-01-24,Cordoba,Sin evento,0.0
2024-01-24,Granada,Sin evento,0.0
2024-01-24,Malaga,Sin evento,0.0
2024-01-24,Sevilla,Sin evento,0.0
2024-01-25,Almeria,Sin evento,0.0
2024-01-25,Cordoba,Sin evento,0.0
2024-01-25,Granada,Sin evento,0.0
2024-01-25,Malaga,Sin evento,0.0
2024-01-25,Sevilla,Sin evento,0.0
2024-01-26,Almeria,Sin evento,0.0
2024-01-26,Cordoba,Sin evento,0.0
2024-01-26,Granada,Sin evento,0.0
2024-01-26,Malaga,Sin evento,0.0
2024-01-26,Sevilla,Sin evento,0.0
2024-01-27,Almeria,Sin evento,0.0
2024-01-27,Cordoba,Sin evento,0.0
